VENDOR PART#,MANUFACTURER PART #,DESCRIPTION,MSRP,CONTRACT_PRICE,QUANTITY ON HAND,MANUFACTURER_NAME,CATEGORY,SERIAL_FLAG,WEIGHT
ELO-19C27B1NBSW732GY,E284600,"19C2 TouchPC 19"" aCT 1.86GHz Win07 Singl",1110.43,882.37,0,ELO Touch Solutions,ETC,Y,26.35
ELO-ESY22C37ZBNOWH,E290480,"22CM3 ACCUTOUCH, NO OS, 3.0OBSOLETE",1467.6,1166.65,0,ELO Touch Solutions,ETC,Y,32.65
ELO-15INCHRACKMOUNTB,E295006,1537L RACKMOUNT BRACKET KIT,43.5,34.67,0,ELO Touch Solutions,ETA,N,4.8
ELO-PLATEVESA1529,E295293,VESA CHECK STAND MOUNT FOR 1529L NC/NR,6.11,5.2,0,ELO Touch Solutions,ETA,N,0.507
ELO-E305246,E305246,64 MB SSD Hard Drive Kit fro MSeries (Vu,381.59,303.36,0,ELO Touch Solutions,ETA,N,0.287
ELO-17B28B0ZBMW732GY,E309211,"17B2 TchPC 17"" iT+ 1.86GHz WinOBSOLETE",961.6,735.63,0,ELO Touch Solutions,ETC,Y,26.5
ELO-E309480,E309480,1GB DDR2 800MHZ MEMORY DIMM NC/NR EOL,34.34,27.74,0,ELO Touch Solutions,ETA,N,0.044
ELO-ET1919L2UWA0GYG,E309750,"1919L PROJECTED CAPACITIVE, USB, CLEAR G",496.07,379.49,0,ELO Touch Solutions,ELO,Y,20.5
ELO-15INCHFRONTMOUNT,E323425,1537L FRONT MOUNT BEZEL KIT,44.26,35.54,2,ELO Touch Solutions,ETA,N,2.646
ELO-RFIDREADER1X23LB,E326847,"RFID READER FOR 1523L/1723L, BLACK",92.34,73.68,0,ELO Touch Solutions,ETA,N,0.463
ELO-22C37B1NBSNOGY,E326901,"22C3 TouchPC 22"" aCT 3.0GHz NoOS NCNR",1318.78,1009.2,0,ELO Touch Solutions,ETC,Y,17
ELO-E331130,E331130,4GB DDR2 800MHZ DIMM - obsolete,141.95,112.68,0,ELO Touch Solutions,ETA,N,0.176
ELO-REARFACINGCDBRKT,E332358,MOUNTING BRACKET FOR 0700L ASA REAR-FACI,12.97,10.4,1,ELO Touch Solutions,ETA,N,1.014
ELO-BRKT1541LR,E333212,1541L BRACKET KIT SEE NOTES,6.11,5.2,0,ELO Touch Solutions,ETA,N,0.683
ELO-STANDSDT1915LGYR,E335194,STAND FOR 1915L & 1928L- GRAY,29.76,23.41,0,ELO Touch Solutions,ETA,N,6.35
ELO-15B27B1NBSW732GY,E341238,"15B2 TouchPC 15"" aCT obsolete",882.23,674.74,0,ELO Touch Solutions,ETC,Y,24.75
ELO-1517ITWHITEZB,E342516,"1517 TouchSC 15"" iTO White 4:3USBNCNR",402.2,307.76,1,ELO Touch Solutions,ELO,Y,14.75
ELO-1940LRACKMOUNT,E343109,Rack mount bezel kit for 1940LIntelliTou,68.69,54.61,0,ELO Touch Solutions,ETA,N,2
ELO-ET1515L7CEC1GYG,E344320,"1515 TOUCHSC 15"" ACT GRE ALTERNATIVE: E9",402.2,308.61,0,ELO Touch Solutions,ELO,Y,15.719
ELO-1517ITBLACKAG,E344758,"1517L IntelliTouch, USB/RS232,VGA Video,",386.93,296.09,5,ELO Touch Solutions,ELO,Y,15.3
ELO-KITHDD/SSCDSERIE,E349653,HDD/SSD MOUNTING BRACKET obsolete,19.09,15.6,0,ELO Touch Solutions,ETA,N,1
ELO-22C38B0ZBMNOGY,E352793,"22C3 TouchPC 22"" iT+ 3.0GHz NoOS NCNR",1318.78,1009.2,0,ELO Touch Solutions,ETC,Y,29.2
ELO-E355477,E355477,2GB DDRM2 800MHZ OBSOLETE,70.21,55.47,1,ELO Touch Solutions,ETA,N,0.044
ELO-1717ATWHITE,E371267,"1717 TouchSC 17"" ACT White 5:4USB/NCNR",393.8,301.09,0,ELO Touch Solutions,ELO,Y,16.5
ELO-KITBIOFPR15D1GYR,E373639,15D1 BIOMETRIC FPR obsolete,134.32,106.62,0,ELO Touch Solutions,ETA,N,0.331
ELO-E375206,E375206,BIOMETRIC FINGERPRINT READER B O,144.24,112.26,1,ELO Touch Solutions,ETA,N,0.551
EPS-C31C412382,C31C412382,ObsoleteTM-L90 ECW USB W/PSU Peeler,480.57,341.19,0,EPSON,EPP,Y,5.688
EPS-C31C412402,C31C412402,TM-L90 ECW SER Built-in USB W/PSU,389,276.19,0,EPSON,EPP,Y,6.151
EPS-C31C412412,C31C412412,TM-L90 EDG SE Built-in USB W/PSU,389,276.19,32,EPSON,EPP,Y,6.173
EPS-C31C412432,C31C412432,TM-L90 EDG ETH Built-in USB W/PSU,467,331.55,39,EPSON,EPP,Y,6.173
EPS-C31C412616,C31C412616,TM-L90 LINER FREE COMPATIBLE,377.02,271.45,0,EPSON,EPP,Y,6.195
EPS-C31C412651A0,C31C412651A0,TM-L90 Liner-Free ECW SE EU cable,332,235.41,0,EPSON,EPP,Y,5.952
EPS-C31C412652A0,C31C412652A0,TM-L90 Liner-Free EDG SE EU cable,332,235.71,0,EPSON,EPP,Y,6.283
EPS-C31C414022BB,C31C414022BB,EOL- TM-L90 EDG USB W/PSU,444.18,319.8,0,EPSON,EPP,Y,6.107
EPS-C31C414412,C31C414412,TM-L90 EDG PAR Built-in USB W/PSU,389,276.19,0,EPSON,EPP,Y,6.129
EPS-C31C513057,C31C513057,TM-U220-A MAT EDG SER W/PSU AUTO CUTTER,226.5,160.82,0,EPSON,EPP,Y,8.863
EPS-C31C514007,C31C514007,TM-U220-B MAT ECW SER W/PSU AUTO CUTTER,205,145.54,27,EPSON,EPP,Y,7.76
EPS-C31C514057,C31C514057,TM-U220-B MAT EDG SER W/PSU AUTO CUTTER,205,145.54,175,EPSON,EPP,Y,8.774
EPS-C31C514057A0,C31C514057A0,TM-U220-B MAT EDG USB W/PSU AUTO CUTTER,205,145.54,68,EPSON,EPP,Y,8.223
EPS-C31C514057BD,C31C514057BD,TM-U220-B EDG ETH W/PSU NEAR END SENSOR,255,181.04,378,EPSON,EPP,Y,7.87
EPS-C31C515002,C31C515002,TM-U220-D MAT ECW SER W/PSU,170.5,121.05,16,EPSON,EPP,Y,7.826
EPS-C31C515052,C31C515052,TM-U220-D MAT EDG SER W/PSU,170.5,121.05,6,EPSON,EPP,Y,8.576
EPS-C31C515052B0,C31C515052B0,TM-U220D USB+DMD PS EDG EU,219.8,158.25,0,EPSON,EPP,Y,8.929
EPS-C31C516057,C31C516057,TM-U220-PA MAT EDG PAR W/PSU AUTO CUTTER,226.5,160.82,7,EPSON,EPP,Y,8.466
EPS-C31C517007,C31C517007,TM-U220-PB MAT ECW PAR W/PSU AUTO CUTTER,205,145.54,0,EPSON,EPP,Y,8.378
EPS-C31C517057,C31C517057,TM-U220-PB MAT EDG PAR W/PSU AUTO CUTTER,205,145.54,0,EPSON,EPP,Y,8.245
EPS-C31C518052,C31C518052,TM-U220-PD MAT EDG PAR W/PSU,170.5,121.05,0,EPSON,EPP,Y,7.54
EPS-C31C520011,C31C520011,EOLTM-J7500 ECW SER WOPSU,594.14,427.78,0,EPSON,EPP,Y,13.36
EPS-C31C636321B1,C31C636321B1,TM-T88IV/psu/Ethernet/Epson dark grey,299,212.29,0,EPSON,EPP,Y,5.357
EPS-C31CA26012,C31CA26012,TM-C3400 COLOR LBL PTR USB,715.99,669.44,5,EPSON,TMC,Y,26.676
EPS-C31CA26012CD,C31CA26012CD,TM-C3400 COLOR LBL PTR USB (+NiceLBL CD),752,703.11,3,EPSON,TMC,Y,27.117
EPS-C31CA26032,C31CA26032,TM-C3400 COLOR LBL PTR ETH,802.5,750.3,8,EPSON,TMC,Y,26.61
EPS-C31CA26032CD,C31CA26032CD,TM-C3400 COLOR LBL PTR ETH (+NiceLBL CD),842.5,787.66,0,EPSON,TMC,Y,26.918
EPS-C31CA85012,C31CA85012,TM-T88V ECW USB SER W/PSU EU AC CABLE,225,159.74,50,EPSON,EPP,Y,5.622
EPS-C31CA85031,C31CA85031,TM-T88V ECW USB SER NO PSU,218.5,155.13,0,EPSON,EPP,Y,4.431
EPS-C31CA85032,C31CA85032,TM-T88V ECW USB SER W/PSU UK AC CABLE,225,159.74,55,EPSON,EPP,Y,5.688
EPS-C31CA85041,C31CA85041,TM-T88V EDG USB SER NO PSU,218.5,155.13,0,EPSON,EPP,Y,4.365
EPS-C31CA85042,C31CA85042,TM-T88V EDG USB SER W/PSU EU AC CABLE,225,159.74,0,EPSON,EPP,Y,5.622
EPS-C31CA85051,C31CA85051,"TM-T88V EDG PowerUSB, NO PSU",225,159.74,64,EPSON,EPP,Y,4.409
EPS-C31CA85082,C31CA85082,TM-T88V EDG USB SER W/PSU UK AC CABLE,225,159.74,250,EPSON,EPP,Y,5.71
EPS-C31CA85321B0,C31CA85321B0,TM-T88V EDG USB WIFI W/PSU EU AC CABLE,335.04,241.22,0,EPSON,EPP,Y,5.6
EPS-C31CA85813,C31CA85813,TM-T88V ECW USB PAR W/PSU EU AC CABLE,225,159.74,0,EPSON,EPP,Y,5.644
EPS-C31CA85833,C31CA85833,TM-T88V EDG USB PAR W/PSU EU AC CABLE,225,159.74,67,EPSON,EPP,Y,5.644
EPS-C31CA85835,C31CA85835,TM-T88V EDG USB PAR W/PSU UK UK MAIN CAB,225,159.74,57,EPSON,EPP,Y,5.688
EPS-C31CB10013,C31CB10013,EOL- TM-T20 EDG ETH W/PSU UK ALL IN THE,156.83,112.92,19,EPSON,EPS,Y,5.071
